Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
41,0.4771,0.0060,0.0005,0.0023,0.0013,0.0027,0.0017,0.0009,0.0000,0.0120
42,0.0365,0.9756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
43,0.6617,0.0000,0.0299,0.0000,0.0000,0.0000,0.0015,0.0006,0.0000,0.0000
44,0.1081,0.0002,0.0562,0.0000,0.0000,0.0025,0.0000,0.0000,0.0000,0.0000
45,0.9755,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,0.0761,0.9982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,0.0065,0.6293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
48,0.9964,0.0044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,0.0067,0.0000,0.0000,0.0006,0.0000,0.0242,0.0000,0.0003,0.0000,0.0000
50,0.5290,0.0009,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
51,0.0025,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,0.0130,0.0005,0.0567,0.0019,0.0007,0.1179,0.0003,0.0000,0.0006,0.0000
53,0.0002,0.0001,0.0000,0.2179,0.0000,0.0097,0.0005,0.0002,0.0000,0.0000
54,0.6787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000
55,0.0037,0.0001,0.9849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
56,0.0001,0.0003,0.8819,0.0000,0.0001,0.0002,0.0001,0.0000,0.0016,0.0000
57,0.0000,0.0001,0.0004,0.0000,0.0022,0.0007,0.0000,0.0001,0.3449,0.0002
58,0.9993,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
59,0.0002,0.0011,0.3246,0.0001,0.0000,0.1257,0.0000,0.0001,0.0002,0.0000
60,0.5220,0.2726,0.0001,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000
61,0.0407,0.0011,0.0013,0.0045,0.0008,0.0098,0.0272,0.0006,0.0003,0.0290
62,0.9845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
63,0.0001,0.0070,0.0000,0.5757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
64,0.9986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,0.0024,0.0003,0.0000,0.0024,0.0011,0.1017,0.0034,0.0001,0.0055,0.0000
66,0.3117,0.9947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
67,0.7431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000
68,0.0000,0.1620,0.0000,0.1057,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
69,0.0006,0.9936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
70,0.4142,0.0187,0.0288,0.0020,0.0004,0.0052,0.0003,0.0023,0.0004,0.0001
71,0.9640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000
72,0.2393,0.0002,0.0000,0.0000,0.2076,0.0002,0.0000,0.0001,0.0000,0.0000
73,0.0959,0.0000,0.0000,0.0000,0.0004,0.0001,0.0000,0.0011,0.0000,0.0000
74,0.0502,0.0000,0.0000,0.0000,0.0019,0.0000,0.1539,0.0001,0.0000,0.0000
75,0.0671,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8725,0.0000,0.0001
76,0.0000,0.9968,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,0.0398,0.0232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,0.0001,0.0019,0.9181,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000
79,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0.0021,0.0000,0.9557,0.0000
80,0.0136,0.0003,0.0009,0.0005,0.0002,0.0034,0.0011,0.0023,0.0005,0.0690
81,0.0000,0.0000,0.7986,0.0000,0.0000,0.0011,0.0000,0.0000,0.0051,0.0000
82,0.9773,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
83,0.7377,0.0008,0.0000,0.0000,0.0000,0.0000,0.0059,0.0000,0.0000,0.0000
84,0.0461,0.0461,0.0000,0.0076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,0.0000,0.0000,0.9723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,0.0000
86,0.5567,0.0102,0.0010,0.0001,0.0001,0.0001,0.0055,0.0028,0.0004,0.0002
87,0.0496,0.3231,0.0001,0.0048,0.0000,0.0000,0.0044,0.0000,0.0000,0.0000
88,0.0000,0.0031,0.8300,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,0.0000
89,0.0001,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.2691,0.0000,0.0000
90,0.5228,0.0005,0.0000,0.0001,0.0002,0.0029,0.0001,0.0006,0.0000,0.0000
91,0.2265,0.0003,0.0000,0.0025,0.0002,0.0088,0.0001,0.0001,0.0000,0.0050
92,0.0000,0.1782,0.0299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,0.9360,0.0001,0.0000,0.0000,0.0005,0.0000,0.0042,0.0000,0.0000,0.0000
94,0.9990,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
95,0.8040,0.0228,0.0000,0.0001,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000
96,0.4391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0023,0.0000,0.0002
97,0.0008,0.0002,0.0000,0.0000,0.0011,0.6451,0.0000,0.0000,0.0001,0.0000
98,0.1042,0.0201,0.0044,0.1133,0.0000,0.0005,0.0002,0.0011,0.0000,0.0013
99,0.0243,0.8243,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
100,0.0000,0.0000,0.0192,0.0000,0.0000,0.0913,0.0000,0.0000,0.0113,0.0000
101,0.9971,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
102,0.0001,0.0001,0.0000,0.6808,0.0004,0.0000,0.0061,0.0000,0.0000,0.0004
103,0.0083,0.0002,0.0000,0.0000,0.0000,0.0254,0.0000,0.0000,0.0001,0.0002
104,0.2052,0.0001,0.0000,0.0001,0.0000,0.0002,0.0023,0.0009,0.0000,0.0001
105,0.0012,0.2814,0.0000,0.5499,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
106,0.9971,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
107,0.8637,0.0000,0.0000,0.0000,0.0003,0.0000,0.0002,0.0033,0.0000,0.0000
108,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
109,0.0155,0.7429,0.0009,0.0009,0.0001,0.0004,0.0017,0.0001,0.0008,0.0004
110,0.0124,0.0001,0.0000,0.0037,0.0000,0.0052,0.0000,0.0013,0.0000,0.0001
111,0.0000,0.0003,0.9015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000
112,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
113,0.9710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
114,0.1371,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0852,0.0000,0.0004
115,0.9990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
116,0.1005,0.0000,0.0000,0.0275,0.0002,0.0000,0.0022,0.0009,0.0000,0.0000
117,0.9796,0.0004,0.0000,0.0000,0.0000,0.0000,0.0026,0.0000,0.0000,0.0000
118,0.9976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
119,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
120,0.8866,0.0149,0.0029,0.0004,0.0033,0.0000,0.0362,0.0004,0.0001,0.0002
121,0.7988,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0013,0.0000,0.0000
122,0.9999,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
123,0.0096,0.1731,0.0001,0.0120,0.0009,0.0006,0.0001,0.0001,0.0001,0.0030
124,0.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
125,0.0004,0.0014,0.4919,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000
126,0.1695,0.0965,0.0052,0.0004,0.0091,0.0055,0.0010,0.0016,0.0039,0.0014
127,0.7520,0.0011,0.0006,0.0000,0.0002,0.0001,0.0000,0.0002,0.0000,0.0004
128,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
129,0.0000,0.0008,0.3865,0.0000,0.0000,0.0006,0.0000,0.0000,0.0012,0.0000
130,0.0034,0.9989,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000
131,0.0000,0.0003,0.0000,0.0000,0.9667,0.0001,0.0000,0.0000,0.0000,0.0000
132,0.9718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
133,0.9527,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0001
134,0.0197,0.0164,0.0015,0.0001,0.0023,0.0048,0.0019,0.0007,0.1147,0.0011
135,0.8524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
136,0.0000,0.0000,0.0000,0.9981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
137,0.0104,0.0000,0.0000,0.0042,0.0000,0.8208,0.0000,0.0000,0.0000,0.0000
138,0.0000,0.0000,0.9943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
139,0.1724,0.0003,0.0013,0.0013,0.0014,0.0001,0.0526,0.0001,0.0001,0.0864
140,0.8227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
141,0.8993,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
142,0.9289,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0112,0.0000,0.0000
143,0.0620,0.6723,0.0003,0.0004,0.0007,0.0004,0.0141,0.0002,0.0015,0.0001
144,0.9931,0.0000,0.0000,0.0000,0.0013,0.0000,0.0000,0.0003,0.0000,0.0000
145,0.0561,0.0033,0.0018,0.0043,0.0275,0.0407,0.0125,0.0122,0.0102,0.1788
146,0.9507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
147,0.0044,0.0064,0.0000,0.0000,0.0000,0.0000,0.1574,0.0001,0.0000,0.0000
148,0.8790,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000
149,0.0002,0.0009,0.0004,0.0000,0.2077,0.0000,0.0000,0.0000,0.0001,0.0000
150,0.9714,0.0240,0.0000,0.0006,0.0004,0.0000,0.0038,0.0000,0.0000,0.0000
151,0.0568,0.9889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
152,0.0140,0.0000,0.0000,0.0000,0.0002,0.0039,0.0046,0.0117,0.0006,0.0000
153,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
154,0.0000,0.0850,0.0000,0.2446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
155,0.0001,0.0004,0.0004,0.0017,0.0000,0.2568,0.0001,0.0000,0.0001,0.0000
156,0.9716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
157,0.0021,0.0003,0.0004,0.0001,0.0000,0.0001,0.0622,0.0178,0.0004,0.0320
158,0.0778,0.0007,0.0000,0.0003,0.0024,0.0241,0.0000,0.0000,0.0000,0.0000
159,0.0004,0.0000,0.0000,0.0029,0.0004,0.0034,0.0175,0.0105,0.0008,0.0001
160,0.0127,0.0018,0.0014,0.1286,0.0041,0.0002,0.0051,0.0000,0.0001,0.0281
161,0.6995,0.0260,0.0008,0.0001,0.0004,0.0001,0.0003,0.0001,0.0000,0.0000
162,0.1472,0.0008,0.0000,0.0002,0.0004,0.0792,0.0001,0.0000,0.0001,0.0000
163,0.3918,0.0001,0.0000,0.0000,0.0088,0.0000,0.0002,0.0111,0.0000,0.0001
164,0.0038,0.9275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
165,0.0001,0.0001,0.0000,0.2583,0.0000,0.0391,0.0003,0.0004,0.0004,0.0003
166,0.0839,0.0215,0.0007,0.0015,0.0036,0.0002,0.0509,0.0002,0.0014,0.0014
167,0.0006,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.5302,0.0000,0.0051
168,0.5510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
169,0.1225,0.0000,0.0000,0.0011,0.0000,0.0016,0.0000,0.0000,0.0000,0.0001
170,0.0001,0.0001,0.0000,0.0005,0.0001,0.0000,0.0053,0.0001,0.0001,0.2745
171,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
172,0.3061,0.0000,0.0000,0.0000,0.0002,0.0186,0.0000,0.0000,0.0000,0.0000
173,0.2410,0.0000,0.0000,0.0000,0.0259,0.0002,0.0008,0.0471,0.0000,0.0000
174,0.0012,0.0005,0.0003,0.0069,0.0009,0.3125,0.0001,0.0007,0.0017,0.0044
175,0.9994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
176,0.9987,0.0487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
177,0.0275,0.1411,0.0004,0.0001,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000
178,0.7277,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
179,0.0697,0.0002,0.0001,0.0000,0.0119,0.0081,0.0000,0.0061,0.0000,0.0001
180,0.9202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
181,0.9245,0.0024,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000
182,0.7982,0.0006,0.0000,0.0001,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000
183,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
184,0.0061,0.0164,0.0291,0.0002,0.0000,0.0144,0.0917,0.0004,0.0002,0.0005
185,0.3416,0.8807,0.0001,0.0010,0.0001,0.0003,0.0168,0.0000,0.0001,0.0000
186,0.9794,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
187,0.0000,0.0000,0.8769,0.0000,0.0000,0.0036,0.0000,0.0000,0.0000,0.0000
188,0.0574,0.0051,0.2180,0.0123,0.0024,0.0096,0.0051,0.0003,0.0008,0.0049
189,0.4164,0.0393,0.0010,0.0033,0.0002,0.0001,0.1761,0.0000,0.0000,0.0001
190,0.0002,0.0000,0.0000,0.0575,0.0001,0.0199,0.0000,0.0016,0.0000,0.0213
191,0.0018,0.1716,0.0000,0.0000,0.0001,0.0000,0.3129,0.0000,0.0000,0.0000
192,0.0008,0.9996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
193,0.2421,0.0098,0.0001,0.0004,0.0288,0.0003,0.0535,0.0006,0.0012,0.0003
194,0.0027,0.0022,0.1162,0.0000,0.0024,0.0001,0.0019,0.0000,0.1217,0.0000
195,0.4698,0.0015,0.0002,0.0000,0.0002,0.0000,0.0259,0.0001,0.0001,0.0018
196,0.0000,0.0000,0.9990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
197,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
198,0.9968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
199,0.0123,0.9943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
200,0.4752,0.0001,0.0000,0.0021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
201,0.2138,0.7050,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
202,0.1994,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
203,0.0259,0.0025,0.0018,0.0022,0.0351,0.0815,0.0168,0.0004,0.0018,0.0032
204,0.9992,0.0107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
205,0.0165,0.0098,0.0148,0.0941,0.0011,0.0020,0.0041,0.0001,0.0003,0.0256
206,0.8191,0.0003,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000
207,0.4115,0.0153,0.0002,0.0082,0.0015,0.2624,0.0018,0.0002,0.0039,0.0000
208,0.8714,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
209,0.1728,0.0184,0.0001,0.0018,0.0113,0.0000,0.0406,0.0000,0.0000,0.0001
210,0.0000,0.0020,0.4305,0.0000,0.0000,0.0016,0.0000,0.0000,0.0000,0.0000
211,0.5035,0.0114,0.0180,0.0013,0.0006,0.0037,0.0020,0.0053,0.0002,0.0030
212,0.0086,0.1722,0.0097,0.0101,0.0378,0.0010,0.0085,0.0002,0.0002,0.0002
213,0.0010,0.0004,0.0000,0.3236,0.0013,0.0073,0.0006,0.0078,0.0000,0.0040
214,0.9566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
215,0.9469,0.0840,0.0022,0.0001,0.0002,0.0001,0.0002,0.0000,0.0000,0.0000
216,0.6705,0.0030,0.0000,0.0004,0.0097,0.0010,0.0000,0.0001,0.0000,0.0000
217,0.0711,0.0000,0.0000,0.0000,0.0000,0.0039,0.0000,0.0000,0.0000,0.0000
218,0.0005,0.9987,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
219,0.0492,0.0002,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007
220,0.9315,0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
221,0.2649,0.0011,0.0001,0.0009,0.0022,0.0240,0.0002,0.0002,0.0000,0.0000
222,0.8968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0069,0.0000,0.0000
223,0.9807,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
224,0.9491,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
225,0.9474,0.0259,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
226,0.0066,0.9592,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000
227,0.9917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
228,0.0000,0.0942,0.0001,0.0449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
229,0.0005,0.0009,0.9707,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
230,0.9909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
231,0.0260,0.0087,0.0026,0.0002,0.0001,0.0000,0.0032,0.0000,0.0000,0.0000
232,0.0001,0.0030,0.0077,0.0001,0.0012,0.0022,0.0020,0.0010,0.0011,0.0072
233,0.0015,0.0012,0.0000,0.2276,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
234,0.9955,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
235,0.0705,0.0001,0.0000,0.0018,0.0028,0.0091,0.0062,0.0000,0.0002,0.0001
236,0.9971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
237,0.0090,0.0110,0.9415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
238,0.0006,0.0071,0.0002,0.0005,0.3950,0.0029,0.0006,0.0000,0.0000,0.0000
239,0.9554,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
240,0.8789,0.0001,0.0001,0.0000,0.0000,0.0000,0.0013,0.0185,0.0000,0.0000
241,0.0079,0.0002,0.0003,0.0000,0.0001,0.0005,0.0099,0.3358,0.0015,0.0085
242,0.7233,0.0100,0.0001,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000
243,0.2893,0.0003,0.0000,0.0000,0.0004,0.0001,0.0000,0.0005,0.0000,0.0000
244,0.7763,0.4183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
245,0.0512,0.0001,0.0002,0.0000,0.0001,0.0000,0.0066,0.0000,0.0001,0.0001
246,0.4698,0.0011,0.0010,0.0002,0.0016,0.0000,0.0005,0.0000,0.0000,0.0001
247,0.0006,0.0046,0.7422,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
248,0.0050,0.9906,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
249,0.9108,0.0147,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000
250,0.0041,0.9992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
251,0.9982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
252,0.2372,0.0123,0.0020,0.0465,0.0003,0.0213,0.0010,0.0025,0.0012,0.0028
253,0.9704,0.0001,0.0000,0.0001,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
254,0.0001,0.0003,0.9854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
255,0.9986,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
256,0.0393,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
257,0.8111,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
258,0.8625,0.0156,0.0000,0.0005,0.0001,0.0000,0.0006,0.0001,0.0000,0.0000
259,0.9951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
260,0.0885,0.0332,0.0000,0.0100,0.0000,0.0000,0.0390,0.0000,0.0000,0.0000
261,0.0177,0.0008,0.0005,0.0028,0.0020,0.7725,0.0012,0.0002,0.0001,0.0000
262,0.0034,0.9781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
263,0.9575,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
264,0.2134,0.0017,0.0000,0.0037,0.0070,0.0000,0.0169,0.0000,0.0000,0.0001
265,0.0002,0.0003,0.0000,0.9380,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000
266,0.0037,0.0237,0.0001,0.7031,0.0001,0.0000,0.0003,0.0000,0.0000,0.0001
267,0.9977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
